dateff,mktrf,smb,hml,rf,umd
19350228,-0.019400,0.004200,-0.072400,0.00020,0.137500
19350330,-0.036800,-0.035400,-0.050600,0.00010,0.028600
19350430,0.090600,-0.015600,0.042700,0.00010,-0.047200
19350531,0.034700,-0.033400,0.026100,0.00010,-0.036700
19350629,0.059300,-0.025100,-0.016500,0.00010,0.020700
19350731,0.075100,0.014700,0.068600,0.00010,-0.042200
19350831,0.026500,0.062800,0.057000,0.00010,-0.076900
19350930,0.026300,0.015700,-0.040500,0.00010,0.089300
19351031,0.070300,0.026500,-0.023300,0.00010,0.020900
19351130,0.048800,0.043000,0.119100,0.00020,-0.059100
19351231,0.045600,0.002200,0.010700,0.00010,0.037500
19360131,0.068900,0.051000,0.105100,0.00010,-0.033600
19360229,0.024900,0.011400,0.050400,0.00010,0.025700
19360331,0.009900,0.006600,-0.016600,0.00020,0.017300
19360430,-0.081400,-0.060300,-0.020800,0.00020,-0.078300
19360529,0.051900,0.008100,0.026300,0.00020,0.023700
19360630,0.024000,-0.032500,-0.012000,0.00030,0.004500
19360731,0.066700,0.011400,0.025600,0.00010,0.029000
19360831,0.009900,0.007200,0.039900,0.00020,0.006100
19360930,0.009800,0.030700,0.008800,0.00010,0.012700
19361031,0.071200,-0.023900,0.025200,0.00020,0.009900
19361130,0.032700,0.090100,-0.009200,0.00010,0.021100
19361231,0.002100,0.036100,0.039600,0.00000,0.021100
19370130,0.033500,0.043100,0.026100,0.00010,-0.018500
19370227,0.010900,0.012300,0.050500,0.00020,0.029800
19370331,-0.002700,-0.017800,0.063900,0.00010,0.028100
19370430,-0.073600,-0.037700,-0.036100,0.00030,-0.037100
19370528,-0.008300,-0.006600,-0.034900,0.00060,0.005100
19370630,-0.042100,-0.036500,-0.032100,0.00030,0.006800
19370731,0.089100,0.008500,0.008200,0.00030,-0.004000
19370831,-0.048600,0.004200,-0.022500,0.00020,-0.017900
19370930,-0.136100,-0.068900,-0.045700,0.00040,-0.071400
19371030,-0.096100,0.004500,-0.016200,0.00020,-0.015600
19371130,-0.083100,-0.036500,0.002000,0.00020,-0.009700
19371231,-0.042400,-0.077600,-0.003900,0.00000,0.047000
19380131,0.004900,0.049700,-0.016000,0.00000,-0.014400
19380228,0.058400,0.003500,-0.020200,0.00000,-0.030800
19380331,-0.238200,-0.042400,-0.035200,-0.00010,0.157500
19380430,0.145100,0.063700,0.001800,0.00010,-0.088800
19380531,-0.038300,-0.024700,-0.002800,0.00000,0.071300
19380630,0.238700,0.040500,0.003000,0.00000,-0.248600
19380730,0.073400,0.066600,0.021800,-0.00010,-0.064400
19380831,-0.026700,-0.024400,-0.047200,0.00000,0.039500
19380930,0.008100,-0.027200,-0.016200,0.00020,0.025300
19381031,0.078000,0.058300,0.050100,0.00010,-0.077000
19381130,-0.017200,-0.025600,-0.012300,-0.00060,0.031300
19381231,0.041900,-0.018000,0.005000,0.00000,0.020500
19390131,-0.059600,-0.015600,-0.039200,-0.00010,-0.030500
19390228,0.035100,0.006300,0.029500,0.00010,0.032500
19390331,-0.119900,-0.047600,-0.082900,-0.00010,-0.014800
19390429,-0.001800,0.016600,-0.003000,0.00000,0.027000
19390531,0.068000,0.028100,0.004700,0.00010,0.035600
19390630,-0.053100,-0.010200,-0.054100,0.00010,0.019600
19390731,0.102400,0.043200,-0.000300,0.00000,-0.005700
19390831,-0.066800,-0.046100,-0.024200,-0.00010,0.059000
19390930,0.168800,0.202300,0.222200,0.00010,-0.303500
19391031,-0.005300,-0.000100,-0.048900,0.00000,0.064800
19391130,-0.036200,-0.050700,-0.064600,0.00000,-0.002200
19391230,0.030300,0.007900,-0.040600,0.00000,0.054000
19400131,-0.024100,0.002400,-0.007700,0.00000,0.017400
19400229,0.014400,0.025100,-0.003200,0.00000,0.018100
19400330,0.020500,0.012500,-0.012700,0.00000,-0.003600
19400430,0.002200,0.039200,-0.001300,0.00000,0.033300
19400531,-0.219500,-0.066600,-0.036900,-0.00020,0.028600
19400629,0.066700,-0.021300,0.046300,0.00000,-0.021400
19400731,0.031600,0.010100,-0.007400,0.00010,0.008500
19400831,0.021900,-0.001100,0.005600,-0.00010,-0.016100
19400930,0.023900,0.032200,-0.011300,0.00000,-0.002600
19401031,0.030200,0.002800,0.046400,0.00000,-0.065300
19401130,-0.016100,0.019400,0.001200,0.00000,0.013300
19401231,0.006900,-0.021500,-0.008900,0.00000,0.034600
19410131,-0.041700,0.010000,0.038300,-0.00010,-0.047200
19410228,-0.014300,-0.015700,0.008900,-0.00010,0.009100
19410331,0.008400,0.001000,0.030400,0.00010,0.024300
19410430,-0.054600,-0.016900,0.034100,-0.00010,0.030300
19410531,0.013900,-0.006600,0.006000,0.00000,0.024600
19410630,0.058300,0.013200,0.005900,0.00000,-0.006400
19410731,0.058700,0.057000,0.072500,0.00030,-0.017500
19410830,-0.001700,-0.004100,-0.011000,0.00010,0.001700
19410930,-0.008700,-0.009900,-0.002800,0.00010,-0.015700
