"StatsDate","TenYearBondYield"
"2019-12-03","3.2313"
"2019-12-04","3.2086"
"2019-12-05","3.2147"
"2019-12-09","3.2295"
"2019-12-10","3.2237"
"2019-12-11","3.2207"
"2019-12-12","3.2120"
"2019-12-13","3.2190"
"2019-12-16","3.2212"
"2019-12-17","3.2349"
"2019-12-18","3.2502"
"2019-12-19","3.2516"
"2019-12-20","3.2414"
"2019-12-23","3.2109"
"2019-12-24","3.1856"
"2019-12-25","3.1947"
"2019-12-26","3.1701"
"2019-12-27","3.1766"
"2019-12-30","3.1846"
"2019-12-31","3.1723"
"2020-01-02","3.1956"
"2020-01-03","3.2006"
"2020-01-06","3.1869"
"2020-01-07","3.1872"
"2020-01-08","3.1933"
"2020-01-09","3.1871"
"2020-01-10","3.1455"
"2020-01-13","3.1446"
"2020-01-14","3.1559"
"2020-01-15","3.1519"
"2020-01-16","3.1503"
"2020-01-17","3.1427"
"2020-01-19","3.1387"
"2020-01-20","3.1385"
"2020-01-21","3.0959"
"2020-01-22","3.0693"
"2020-01-23","3.0366"
"2020-02-03","2.8917"
"2020-02-04","2.8917"
"2020-02-05","2.9164"
"2020-02-06","2.9011"
"2020-02-07","2.8967"
"2020-02-10","2.8552"
"2020-02-11","2.8398"
"2020-02-12","2.9020"
"2020-02-13","2.8977"
"2020-02-14","2.8885"
"2020-02-17","2.9230"
"2020-02-18","2.9322"
"2020-02-19","2.9271"
"2020-02-20","2.9404"
"2020-02-21","2.9230"
"2020-02-24","2.8912"
"2020-02-25","2.8753"
"2020-02-26","2.8782"
"2020-02-27","2.8589"
"2020-02-28","2.8161"
"2020-03-02","2.7242"
"2020-03-03","2.7668"
"2020-03-04","2.6955"
"2020-03-05","2.6946"
"2020-03-06","2.6451"
"2020-03-09","2.5349"
"2020-03-10","2.5818"
"2020-03-11","2.6319"
"2020-03-12","2.6143"
"2020-03-13","2.6727"
"2020-03-16","2.6622"
"2020-03-17","2.6961"
"2020-03-18","2.7218"
"2020-03-19","2.7231"
"2020-03-20","2.7187"
"2020-03-23","2.6685"
"2020-03-24","2.6292"
"2020-03-25","2.6567"
"2020-03-26","2.6117"
"2020-03-27","2.6166"
"2020-03-30","2.6346"
"2020-03-31","2.6124"
"2020-04-01","2.6729"
"2020-04-02","2.6874"
"2020-04-03","2.7166"
"2020-04-07","2.6256"
"2020-04-08","2.6355"
"2020-04-09","2.5982"
"2020-04-10","2.6388"
"2020-04-13","2.6792"
"2020-04-14","2.6667"
"2020-04-15","2.6641"
"2020-04-16","2.6416"
"2020-04-17","2.6452"
"2020-04-20","2.6741"
"2020-04-21","2.7051"
"2020-04-22","2.6773"
"2020-04-23","2.6577"
"2020-04-26","2.5830"
"2020-04-27","2.6195"
"2020-04-28","2.6162"
"2020-04-29","2.5992"
"2020-04-30","2.6020"
"2020-05-06","2.5625"
"2020-05-07","2.6062"
"2020-05-08","2.6298"
"2020-05-09","2.6477"
"2020-05-11","2.6679"
"2020-05-12","2.6834"
"2020-05-13","2.6799"
"2020-05-14","2.7384"
"2020-05-15","2.7111"
"2020-05-18","2.7208"
"2020-05-19","2.7566"
"2020-05-20","2.7475"
"2020-05-21","2.7062"
"2020-05-22","2.6798"
"2020-05-25","2.6658"
"2020-05-26","2.7403"
"2020-05-27","2.7584"
"2020-05-28","2.7475"
"2020-05-29","2.7251"
"2020-06-01","2.7741"
"2020-06-02","2.8145"
"2020-06-03","2.8972"
"2020-06-04","2.8439"
"2020-06-05","2.9060"
"2020-06-09","2.8600"
"2020-06-10","2.8734"
"2020-06-11","2.8645"
"2020-06-12","2.7901"
"2020-06-15","2.7991"
"2020-06-16","2.8801"
"2020-06-17","2.9022"
"2020-06-18","2.9133"
"2020-06-19","2.9284"
"2020-06-22","2.9334"
"2020-06-23","2.9834"
"2020-06-24","2.9606"
"2020-06-28","2.9276"
"2020-06-29","2.9247"
"2020-06-30","2.9341"
"2020-07-01","2.8415"
"2020-07-02","2.8580"
"2020-07-03","2.8853"
"2020-07-06","2.9552"
"2020-07-07","3.0425"
"2020-07-08","3.0217"
"2020-07-09","3.0905"
"2020-07-10","3.0653"
"2020-07-13","3.0589"
"2020-07-14","3.0270"
"2020-07-15","3.0066"
"2020-07-16","2.9584"
"2020-07-17","2.9487"
"2020-07-20","2.9772"
"2020-07-21","2.9169"
"2020-07-22","2.9414"
"2020-07-23","2.9120"
"2020-07-24","2.9117"
"2020-07-27","2.8962"
"2020-07-28","2.9197"
"2020-07-29","2.9370"
"2020-07-30","2.9597"
"2020-07-31","2.9768"
"2020-08-03","2.9884"
"2020-08-04","2.9736"
"2020-08-05","2.9427"
"2020-08-06","2.9842"
"2020-08-07","3.0001"
"2020-08-10","3.0014"
"2020-08-11","2.9807"
"2020-08-12","2.9810"
"2020-08-13","2.9864"
"2020-08-14","2.9724"
"2020-08-17","2.9457"
"2020-08-18","2.9720"
"2020-08-19","2.9975"
"2020-08-20","3.0127"
"2020-08-21","3.0134"
"2020-08-24","3.0128"
"2020-08-25","3.0377"
"2020-08-26","3.0350"
"2020-08-27","3.0722"
"2020-08-28","3.0789"
"2020-08-31","3.0818"
"2020-09-01","3.0480"
"2020-09-02","3.0830"
"2020-09-03","3.1373"
"2020-09-04","3.1210"
"2020-09-07","3.1629"
"2020-09-08","3.1585"
"2020-09-09","3.1238"
"2020-09-10","3.1005"
"2020-09-11","3.1062"
"2020-09-14","3.1846"
"2020-09-15","3.1554"
"2020-09-16","3.1196"
"2020-09-17","3.1533"
"2020-09-18","3.1413"
"2020-09-21","3.1345"
"2020-09-22","3.1245"
"2020-09-23","3.1088"
"2020-09-24","3.1044"
"2020-09-25","3.1059"
"2020-09-27","3.1569"
"2020-09-28","3.1576"
"2020-09-29","3.1397"
"2020-09-30","3.1510"
"2020-10-09","3.2106"
"2020-10-10","3.2099"
"2020-10-12","3.2161"
"2020-10-13","3.2135"
"2020-10-14","3.2407"
"2020-10-15","3.2418"
"2020-10-16","3.2632"
"2020-10-19","3.2469"
"2020-10-20","3.2403"
"2020-10-21","3.2311"
"2020-10-22","3.2007"
"2020-10-23","3.2064"
"2020-10-26","3.2239"
"2020-10-27","3.2119"
"2020-10-28","3.1944"
"2020-10-29","3.2067"
"2020-10-30","3.2243"
"2020-11-02","3.2149"
"2020-11-03","3.2056"
"2020-11-04","3.2156"
"2020-11-05","3.1978"
"2020-11-06","3.2213"
"2020-11-09","3.2573"
"2020-11-10","3.2619"
"2020-11-11","3.2585"
"2020-11-12","3.2781"
"2020-11-13","3.2987"
"2020-11-16","3.2940"
"2020-11-17","3.3105"
