Month,rf
2017/5/1,0.003699
2017/6/1,0.003895
2017/7/1,0.003596
2017/8/1,0.003602
2017/9/1,0.00365
2017/10/1,0.003641
2017/11/1,0.003798
2017/12/1,0.00403
2018/1/1,0.003924
2018/2/1,0.003924
2018/3/1,0.003899
2018/4/1,0.003464
2018/5/1,0.003425
2018/6/1,0.003597
2018/7/1,0.003002
2018/8/1,0.002402
2018/9/1,0.002368
2018/10/1,0.002386
2018/11/1,0.002526
2018/12/1,0.002664
2019/1/1,0.002511
2019/2/1,0.002357
2019/3/1,0.002325
2019/4/1,0.002339
2019/5/1,0.002423
2019/6/1,0.002404
2019/7/1,0.002185
2019/8/1,0.002218
2019/9/1,0.002261
2019/10/1,0.002304
2019/11/1,0.00249
2019/12/1,0.002524
2020/1/1,0.002403
2020/2/1,0.002178
2020/3/1,0.001796
2020/4/1,0.001279
2020/5/1,0.001172
2020/6/1,0.001589
2020/7/1,0.001932
2020/8/1,0.002171
2020/9/1,0.002231
2020/10/1,0.002332
2020/11/1,0.002524
2020/12/1,0.002439
2021/1/1,0.002205
2021/2/1,0.002342
2021/3/1,0.002261
2021/4/1,0.002173
2021/5/1,0.002102
2021/6/1,0.002065
