index,0,1,2,3
1,,,,
2,0.744915395,0.744915395,1.285146723,0.515179709
4,0.19186112,0.19186112,0.272532652,0.060414151
5,0.123068076,0.123068076,0.171378836,0.131802771
6,0.207134281,0.207134281,0.359195431,0.129597589
7,0.011892836,0.011892836,0.015199928,0.008884745
8,0.10398781,0.10398781,0.233953333,0.08895961
9,0.666728638,0.666728638,1.264675716,0.480059508
10,0.047410572,0.047410572,0.129235209,0.174239174
11,0.195286882,0.195286882,0.574632876,0.149701651
12,0.896892761,0.896892761,1.433683486,0.587873312
14,0.086992987,0.086992987,0.191013689,0.042523947
16,4.417242899,4.417242899,8.916899121,3.882736518
17,0.071711568,0.071711568,0.090768841,0.028260521
18,0.605718121,0.605718121,0.798084335,0.130454482
19,0.054180805,0.054180805,1.368869487,0.607597357
20,0.228612959,0.228612959,0.336174181,0.171453118
21,1.405187544,1.405187544,1.898522108,0.540617522
22,0.198647008,0.198647008,,
23,0.59430529,0.59430529,0.913661808,0.469840031
25,0.037144139,0.037144139,0.057663066,0.035037714
26,0.919596826,0.919596826,1.306239719,0.635818125
27,0.574931352,0.574931352,0.890158962,0.42254745
28,1.864002545,1.864002545,2.788003029,1.615874788
30,0.761094345,0.761094345,1.200741348,0.556792887
31,0.752131401,0.752131401,1.595250128,0.724916007
32,0.36963603,0.36963603,0.551803443,0.160397182
34,5.474707099,5.474707099,9.30496226,5.017567307
35,0.220418663,0.220418663,0.262792594,0.54972003
36,0.460211845,0.460211845,0.530172621,0.218355553
37,0.883472045,0.883472045,1.168443993,0.091160765
38,0.314831478,0.314831478,0.38517039,0.293897215
39,4.455167111,4.455167111,6.967289548,2.626878736
40,0.373522186,0.373522186,0.807089331,0.530006513
42,0.588691645,0.588691645,1.064711198,0.361994039
43,0.857437126,0.857437126,1.334098623,0.326490937
45,0.362525376,0.362525376,0.475809397,0.309845989
46,0.090488292,0.090488292,0.206348418,0.041133188
48,0.189952282,0.189952282,0.483260101,0.151289315
49,2.271476799,2.271476799,2.930358429,1.371729976
50,0.873605912,0.873605912,1.438951751,0.53021349
55,0.690878927,0.690878927,1.121307472,0.409721916
56,0.059353173,0.059353173,0.215223574,0.119669633
58,0.304885087,0.304885087,0.272823871,0.138185896
59,2.209155032,2.209155032,3.861119105,1.790534273
60,1.038027173,1.038027173,1.412243537,0.553865332
61,0.196678243,0.196678243,0.279705771,0.146136731
62,0.566624318,0.566624318,0.981907435,0.425608286
63,0.93427664,0.93427664,1.269981935,0.39896944
65,0.959776028,0.959776028,1.68895854,0.568356095
66,0.325055835,0.325055835,0.719205146,0.143462235
68,0.047314604,0.047314604,0.048125609,0.014159749
69,0.474992105,0.474992105,0.924109718,0.309621363
70,0.896986488,0.896986488,1.281768515,0.231838358
78,2.681882425,2.681882425,4.866407678,2.168843456
88,0.025979163,0.025979163,0.041552255,0.02688529
89,0.154045381,0.154045381,0.225297274,0.101867347
90,0.554033055,0.554033055,1.544136385,0.425095316
96,0.230360932,0.230360932,0.338696934,0.157643994
99,0.260255252,0.260255252,0.417139239,0.174536349
100,2.159900151,2.159900151,3.414803545,0.970330103
150,0.166373292,0.166373292,0.23866688,0.19439703
151,0.260438682,0.260438682,0.4192666,0.118865806
153,1.120512939,1.120512939,1.845369271,0.803668317
155,0.48289604,0.48289604,0.934392695,0.179835184
156,0.187869168,0.187869168,0.302291842,0.104584487
157,0.878283769,0.878283769,1.255516029,0.576945034
158,0.595573796,0.595573796,1.119158668,0.48631981
159,0.243701971,0.243701971,0.271179663,0.045194574
166,,,,
301,0.506165473,0.506165473,0.480571634,0.555950908
333,0.770439253,0.770439253,1.063033407,0.427720772
338,2.283119064,2.283119064,3.416240352,1.234086223
400,0.446933395,0.446933395,0.916614394,0.334355648
401,1.519841201,1.519841201,1.849176553,0.67754855
402,0.412967006,0.412967006,1.148822745,0.406193732
403,0.091531338,0.091531338,0.1252776,0.055209558
404,2.306224043,2.306224043,3.316830698,1.560870531
407,0.776352459,0.776352459,1.424369463,0.871662492
408,0.075734504,0.075734504,0.11982761,0.048926414
409,0.459814441,0.459814441,1.060004238,0.378928832
410,0.716222982,0.716222982,1.038253745,0.136808164
411,5.371536767,5.371536767,7.814963134,4.378433838
413,0.581207069,0.581207069,1.143974552,0.300871312
415,1.214496804,1.214496804,1.854571056,0.780675144
416,0.003651924,0.003651924,0.004657108,0.001081752
417,1.918050804,1.918050804,3.163238477,1.473302281
418,0.848464141,0.848464141,1.238002624,
419,1.066702324,1.066702324,1.697440854,0.703397749
420,0.479072012,0.479072012,0.684339537,0.250337393
421,0.86679382,0.86679382,1.373495291,0.732165757
422,3.916499393,3.916499393,4.937603453,2.553078959
423,0.141217181,0.141217181,0.283699052,0.072585131
425,1.101246396,1.101246396,1.755145482,0.891751142
426,0.163319393,0.163319393,0.262113423,0.033661581
428,0.239560352,0.239560352,0.379166455,0.144344606
429,0.177222519,0.177222519,0.220206604,0.112798482
430,0.150657099,0.150657099,0.239059692,0.074585113
488,2.184385294,2.184385294,3.082133253,1.49128074
498,1.787210777,1.787210777,2.605616395,1.505899919
501,1.588336728,1.588336728,2.4287293,1.073588327
502,0.01057451,0.01057451,0.012397775,0.005358836
503,0.002583427,0.002583427,0.006689731,0.002041762
504,0.013492283,0.013492283,0.024549215,0.01710343
505,1.551797086,1.551797086,2.162048076,0.812389264
506,0.099746409,0.099746409,0.198658965,0.043909358
507,0.258838432,0.258838432,0.501818844,0.25992841
509,0.512494604,0.512494604,0.542489937,0.015513694
510,0.578967264,0.578967264,0.864376208,0.407763698
513,0.426915523,0.426915523,0.744845086,0.314234888
514,0.116002966,0.116002966,0.175350922,0.035082613
516,0.171907462,0.171907462,0.209020165,0.044291629
517,0.282980823,0.282980823,0.539475723,0.210911855
518,0.073476439,0.073476439,0.111028835,0.047335414
519,0.28383365,0.28383365,0.561136834,0.204837174
520,0.190870262,0.190870262,0.288369562,0.114113459
521,4.505728913,4.505728913,6.691771444,2.905426225
523,3.191181995,3.191181995,4.830736753,1.846853072
524,1.020001407,1.020001407,1.530535322,0.654873765
525,0.466891962,0.466891962,0.72509756,0.342523843
526,,,1.64869342,0.837766739
528,1.095871534,1.095871534,2.03674457,1.030519077
529,0.532643239,0.532643239,0.95540424,0.379946119
530,0.699358033,0.699358033,0.967493476,0.411930744
531,0.708746825,0.708746825,0.899733334,0.295141744
532,0.096796288,0.096796288,0.155905258,0.055833333
533,3.862151178,3.862151178,5.469523602,0.296304712
534,0.006922767,0.006922767,0.050337193,0.060159607
536,0.536605391,0.536605391,0.873427827,0.111078041
537,0.968425468,0.968425468,1.93952983,0.659300304
538,0.269679201,0.269679201,0.346761187,0.159972524
