MarkettypeID,date,Portfolios,RM,SMB,HML,RMW,CMA
P9714,2001/1/15,1,-0.032055,-0.004247,-0.003974,-0.003501,-0.002023
P9714,2001/1/15,2,-0.032055,-0.003988,-0.002695,-0.000772,-0.002317
P9713,2001/1/15,3,-0.031055,-0.003866,-0.001627,-0.001899,-0.002825
P9714,2001/1/15,3,-0.032055,-0.004163,-0.002446,-0.001839,-0.002682
P9709,2001/1/16,2,0.011945,-0.004214,0.006509,0.001235,0.003866
P9709,2001/1/16,1,0.011945,-0.004307,0.008226,0.002187,0.005275
P9709,2001/1/16,3,0.011945,-0.003554,0.006263,0.002291,0.00347
P9713,2001/1/16,3,0.008945,-0.003405,0.003218,0.003245,0.003629
P9713,2001/1/16,1,0.008945,-0.004028,0.003975,0.003641,0.004029
P9713,2001/1/16,2,0.008945,-0.004058,0.003513,0.002173,0.003229
P9714,2001/1/16,2,0.011945,-0.004214,0.006509,0.001235,0.003866
P9714,2001/1/16,3,0.011945,-0.003554,0.006263,0.002291,0.00347
P9714,2001/1/16,1,0.011945,-0.004307,0.008226,0.002187,0.005275
P9709,2001/1/17,2,-0.005055,-0.000941,0.000181,0.000584,-0.000573
P9709,2001/1/17,3,-0.005055,-0.000453,0.00012,0.001039,-0.000182
P9709,2001/1/17,1,-0.005055,-0.00089,-0.000859,0.000895,0.000209
P9713,2001/1/17,3,-0.005055,-0.000438,0.000672,0.001189,0.000102
P9713,2001/1/17,1,-0.005055,-0.000944,0.000094,0.000816,0.000365
P9713,2001/1/17,2,-0.005055,-0.001009,0.000792,0.000609,-0.00031
P9714,2001/1/17,3,-0.005055,-0.000453,0.00012,0.001039,-0.000182
P9714,2001/1/17,2,-0.005055,-0.000941,0.000181,0.000584,-0.000573
P9714,2001/1/17,1,-0.005055,-0.00089,-0.000859,0.000895,0.000209
P9709,2001/1/18,2,0.004945,-0.002193,-0.001604,0.002563,-0.001707
P9709,2001/1/18,1,0.004945,-0.00223,-0.001628,0.001921,-0.001498
P9709,2001/1/18,3,0.004945,-0.001702,-0.001596,0.002799,-0.000674
P9713,2001/1/18,3,0.005945,-0.001614,0.000138,0.002435,-0.000093
P9713,2001/1/18,2,0.005945,-0.00207,-0.000041,0.002018,-0.000651
P9713,2001/1/18,1,0.005945,-0.002109,0.000234,0.001343,-0.000387
P9714,2001/1/18,1,0.004945,-0.00223,-0.001628,0.001921,-0.001498
P9714,2001/1/18,2,0.004945,-0.002193,-0.001604,0.002563,-0.001707
P9714,2001/1/18,3,0.004945,-0.001702,-0.001596,0.002799,-0.000674
P9709,2001/1/19,3,0.011945,0.002553,-0.000806,-0.001244,-0.001549
P9709,2001/1/19,2,0.011945,0.002745,-0.000195,-0.000523,-0.00129
P9709,2001/1/19,1,0.011945,0.002827,-0.001009,-0.000333,-0.001478
P9713,2001/1/19,1,0.012945,0.002332,-0.000886,-0.000488,-0.001174
P9713,2001/1/19,3,0.012945,0.002128,-0.000585,-0.001627,-0.001538
P9713,2001/1/19,2,0.012945,0.002226,-0.00014,-0.000804,-0.001119
P9714,2001/1/19,1,0.011945,0.002827,-0.001009,-0.000333,-0.001478
P9714,2001/1/19,3,0.011945,0.002553,-0.000806,-0.001244,-0.001549
