,0,1,2,3
1,-0.209123061,0.151312129,0.360455437,0.295345205
2,-0.14863947,-0.12604888,0.128169261,0.103852843
4,-0.275245493,-0.148796627,0.096938271,0.247798359
5,-0.275362739,-0.108809083,0.02364837,0.054420881
6,-0.436257649,-0.147311231,-0.063140812,-0.036968363
7,-0.570828055,-0.520585322,-0.466765014,0.021712874
8,-0.565468166,-0.309597124,-0.230995695,-0.211550191
9,-0.337642386,-0.146558739,0.186301533,0.19406015
10,-0.230626031,-0.212858452,-0.122759974,-0.300827827
11,-0.402948293,-0.304139731,-0.111251652,-0.108149169
12,-0.423351614,-0.24042577,-0.058586336,-0.056088501
14,-0.149719564,-0.090459528,-0.366601886,-0.076676841
16,-0.381151654,-0.37210371,-0.175238387,0.067777079
17,-0.250000271,-0.096599968,-0.026371654,0.208156845
18,-0.612912617,-0.544344976,-0.548697355,-0.59615436
19,-0.396707286,-0.333332549,-0.251033144,-0.270356902
20,-0.250883422,-0.196546275,-0.208626862,-0.066778137
21,-0.37038734,-0.151504814,0.326979523,0.801830798
22,-0.246509359,-0.275980639,-0.275980639,-0.148474772
23,-0.408260108,-0.074316955,-0.001269061,0.128108369
25,-0.309269421,-0.229244612,-0.066988867,0.061893365
26,-0.334024272,-0.188622573,-0.083159241,0.03568995
27,-0.111277619,0.063142151,0.204455086,0.095732989
28,-0.247818638,-0.252835682,-0.141885218,0.051959142
30,-0.325823918,-0.070292082,-0.044009779,0.102063534
31,-0.361449975,-0.266803058,0.092869996,0.119597915
32,-0.27342575,-0.107419074,0.210372372,0.350905649
34,-0.309823176,-0.386818237,-0.185838119,-0.044901125
35,-0.336308588,-0.191963326,-0.351189527,0.24836684
36,-0.318792285,-0.170247606,0.223906476,0.227879019
37,-0.310924354,0.233567753,0.657851574,1.545287446
38,-0.334063998,-0.236291118,-0.544765041,0.190588861
39,-0.50668169,-0.191832488,-0.043444056,0.049607495
40,-0.359581077,-0.328146304,-0.335643688,-0.51305683
42,-0.262290375,-0.189215453,-0.320971274,-0.476855519
43,-0.177278184,-0.077426127,0.558533433,1.330629165
45,-0.409230752,-0.237418063,-0.037657693,0.164059946
46,-0.314035243,-0.199791173,0.158879778,-0.155125397
48,0.021933721,-0.188362955,-0.113698623,0.090950874
49,-0.24639102,-0.001532087,-0.085398285,0.484124334
50,-0.459810785,-0.022280183,-0.042297822,0.120039445
55,-0.254382749,-0.122581511,-0.006951383,0.077107307
56,-0.571883469,-0.585498459,-0.560389702,-0.541729609
58,-0.24953536,0.206472783,0.203123917,1.093008787
59,-0.3536198,-0.25995572,-0.03483284,-0.174006792
60,-0.424916575,-0.202647336,0.012691182,-0.089695753
61,-0.354346018,-0.186968464,0.033334028,0.062860716
62,-0.209976264,0.04527955,0.078192389,-0.005381923
63,-0.453519991,-0.011609474,1.207212992,0.574317338
65,-0.293237563,-0.213902001,0.169712872,-0.018444531
66,-0.267091339,-0.149264563,0.386666397,0.630901788
68,-0.213861468,0.483222103,0.513160333,0.845618874
69,-0.258184862,-0.119949338,0.030920383,0.127343871
70,-0.228323314,0.781523247,1.038357657,1.005155119
78,-0.425143863,-0.334975929,-0.197505391,-0.122636526
88,-0.346969335,-0.11036883,-0.172929446,0.060350671
89,-0.075218856,0.14640686,0.103267212,0.249055568
90,-0.372825349,-0.250313962,0.053223524,0.287287775
96,-0.311158149,-0.157918969,-0.083948552,-0.042814331
99,-0.345705765,-0.12238469,0.125001009,0.30599893
100,-0.346302857,-0.039234845,0.17125838,0.175904551
150,-0.353911973,-0.418479164,-0.549189354,-0.572585413
151,-0.102561372,-0.274405784,0.015953339,-0.097850422
153,-0.268015654,-0.252381328,-0.010990377,-0.004674446
155,-0.339966438,-0.438990281,-0.201425934,-0.169133645
156,-0.198505821,-0.096970881,0.253850081,0.124606261
157,-0.165605032,0.048137591,0.372724351,0.480829436
158,-0.332710081,-0.277495245,-0.171760312,-0.072694439
159,-0.166982254,0.054825029,1.424656874,0.587222043
166,-0.163479504,0.119627446,0.091879932,0.073816346
301,0.026737708,-0.194943576,-0.177952731,-0.214603362
333,-0.285611379,-0.103208801,-0.025125448,0.34421326
338,-0.05050464,0.218761993,0.40805118,0.417477799
400,-0.319846334,-0.022399748,0.15364986,-0.077520472
401,-0.15881221,0.063975692,0.933599076,0.441963536
402,-0.369005721,-0.155938254,-0.089440915,0.084217615
403,-0.138243793,-0.093617143,-0.127460512,0.253149176
404,-0.349346837,-0.213649475,0.004618949,-0.047878361
407,-0.499349678,-0.293423515,-0.036319106,-0.242950176
408,-0.362146634,-0.295210514,-0.492096886,-0.288889593
409,-0.066793085,-0.155288857,0.822630589,0.286408158
410,-0.33299301,-0.294479611,-0.105001465,-0.285529517
411,-0.366331998,-0.450401008,-0.025414778,-0.045890064
413,-0.492896558,-0.258615171,-0.164976064,-0.148903486
415,-0.32572622,-0.197787832,-0.329753876,-0.099743224
416,-0.370725385,-0.086758224,0.10548551,0.452634798
417,-0.398694635,-0.296083713,-0.08347864,-0.123618584
418,-0.319307318,-0.145645411,-0.115269677,0.319484943
419,-0.268533092,-0.133689756,-0.04948411,-0.08833789
420,-0.373801315,-0.148935119,0.147410646,0.131066478
421,-0.256476007,-0.03152729,-0.028807019,-0.083150302
422,-0.333333242,0.183871571,0.613526407,-0.051902506
423,-0.232938369,-0.244159626,-0.226992793,-0.314709237
425,-0.27142327,0.020332509,0.009433781,0.10065245
426,-0.491829838,-0.329917332,-0.300212747,-0.01374575
428,-0.349283239,-0.230769372,0.024823585,-0.086503678
429,-0.011627019,0.169801154,0.234073745,0.036180841
430,-0.368421221,-0.318823588,-0.170436915,-0.121666832
488,-0.44475331,-0.383177673,-0.34095511,-0.24873726
498,-0.262272282,-0.01722755,0.237908797,-0.086116817
501,-0.371042217,-0.272802171,-0.127928337,-0.015971511
502,-0.292836531,-0.126497943,0.08299433,0.046131325
503,-0.571362252,-0.486438344,-0.426369182,-0.220119404
504,-0.460851834,-0.449999939,-0.38294842,-0.32102429
505,-0.254176568,-0.286856294,0.035200128,0.019129373
506,-0.489823707,-0.220983274,0.083848828,0.039874643
507,-0.29701571,-0.122315431,-0.31982903,-0.322758424
509,-0.506535873,-0.179220452,-0.053002404,-0.106381469
510,-0.500841579,-0.25623701,0.004394204,-0.121740203
511,-0.884250554,-0.884250554,-0.227848,0
513,-0.334427297,-0.381564297,-0.293516346,0.13761562
514,-0.35239447,-0.367962055,0.09756311,0.005026709
516,0.012271298,0.179960666,0.085595779,-0.070201509
517,-0.303297788,-0.267894098,-0.003269382,0.015501994
518,-0.470760329,-0.221499203,-0.181598159,-0.115591175
519,-0.322843218,-0.102991027,0.01930352,0.290234172
520,-0.263681227,0.027028323,0.137256467,0.251498474
521,-0.336525082,-0.135595103,-0.076368379,0.01356625
523,-0.346213473,-0.249725329,-0.150974857,0.156531087
524,-0.330190579,-0.204869083,-0.055508514,0.013676908
525,-0.282567392,-0.296639907,-0.199823601,-0.226002773
526,-0.445473603,-0.206174223,-0.22711115,-0.102199353
528,0.030003806,0.086494737,-0.185748333,-0.248884256
529,-0.26555616,-0.002245686,0.153024797,0.294097303
530,-0.343399392,-0.228118934,0.194811327,0.198149999
531,-0.34012884,0.094150635,0.396413298,0.432263996
532,0.012703224,-0.211918025,0.085464938,0.083851422
533,-0.691120058,-0.63810551,-0.207963508,-0.22806975
534,-0.239498314,-0.215030272,-0.228947181,-0.202798827
536,-0.542111488,-0.12631001,-0.018181324,0.163266705
537,-0.39612523,-0.324668523,-0.269710383,-0.199563639
538,-0.257197196,-0.127802043,-0.262831695,0.12144324
539,-0.16496455,-0.003638135,-1.95446E-07,-0.092720379
540,0,-0.015009792,-0.195968733,-0.276996672
541,-0.315187823,-0.220899102,-0.10277173,-0.128914905
543,-0.06979978,0.128614959,0.057594162,0.112876692
544,-0.454696389,-0.330027863,-0.063158708,0.003448048
545,-0.251937648,-0.13709932,0.05850924,-0.148937818
546,-0.529755787,-0.339252734,-0.274495839,-0.114238447
547,-0.249308262,0.00375393,0.263762872,0.29112469
548,-0.257107492,-0.185079526,0.031923537,-0.076849744
550,-0.255894086,0.270204909,1.36521515,0.251573946
551,-0.302801128,-0.067876954,0.162349503,0.129662933
552,-0.215977473,-0.106357577,-0.146790355,-0.099914551
553,-0.365593604,-0.193834862,-0.311888118,-0.255447539
554,-0.377847113,-0.182534742,0.027067851,-0.141414464
555,-0.12117385,-0.30033989,-0.134037072,-0.064193049
557,-0.209205658,-0.101099753,0.242235819,-0.205314539
558,-0.339393919,-0.22921399,0.106143831,0.167720414
559,-0.446002026,-0.282678608,-0.096312812,-0.067719765
560,-0.226291079,-0.060560254,-0.088339045,-0.204978105
561,-0.323184574,-0.110236232,0.229729914,0.129375733
563,-0.291570288,0.26688603,0.312448217,0.446205411
564,-0.414958102,-0.280755091,-0.435926973,-0.258785958
565,-0.342799953,-0.212247469,0.204790029,0.035025906
566,-0.51563448,-0.464441532,-0.479405832,-0.049020568
567,-0.503333115,-0.509090537,-0.300181185,0.004128001
568,-0.365563802,-0.077871533,0.185236177,1.075203808
570,-0.29817849,-0.136538449,0.125891908,0.085310603
571,-0.35555604,-0.320000203,-0.473809828,-0.322085053
572,-0.484714918,-0.344058539,-0.419825169,-0.361940965
573,-0.324152619,-0.237179833,-0.066666782,-0.076850026
576,-0.596357415,-0.575787838,-0.486472005,0.434480579
581,-0.206899797,-0.023587192,-0.059188269,-0.079562435
582,-0.10838513,-0.044492066,0.128136404,0.130607379
584,-0.530817535,-0.414470016,-0.476504368,-0.371458173
585,-0.610266249,-0.279278943,0.211340932,-0.049504019
586,-0.525376352,-0.182199733,0.357210174,0.27272619
587,-0.617142859,-0.559155135,-0.570564746,-0.208053557
589,-0.239827813,-0.069211737,0.367781335,0.185713992
590,-0.517594492,-0.366805409,0.324552349,0.323666375
591,-0.444826342,-0.177886182,-0.065572288,-0.023838174
592,-0.483478451,-0.049528892,0.264083578,0.071696116
593,-0.17574884,-0.008693359,0.241316134,-0.224028492
595,-0.435700995,-0.216814309,-0.139601667,0.039062977
596,-0.12232915,0.341349079,0.202633546,0.522019011
597,-0.028911445,0.19367495,-0.162931261,-0.035543437
598,-0.211660019,-0.049544639,0.117349561,0.058194846
599,-0.372965831,-0.283911402,-0.05689842,-0.062735116
600,-0.368239038,-0.071497746,0.192099771,0.102969915
601,-0.449384674,-0.326906738,0.031726643,0.398002308
603,-0.201330752,-0.016740074,-0.071097506,1.132127334
605,-0.342451531,-0.30820512,-0.223436706,-0.131675722
606,-0.232062775,-0.016690728,-0.053030707,0.085226348
607,-0.320931518,-0.102249077,0.133126947,0.091482307
608,-0.155301311,-0.124860194,-0.088333816,0.351724194
609,-0.478665127,-0.329335902,-0.143780838,-0.100000373
610,-0.375426867,-0.178427491,0.833404874,0.411486562
611,-0.133675439,-0.32870947,-0.429420321,-0.517187418
612,-0.566402945,-0.351640136,0.180950958,0.02422725
613,-0.010416827,-0.329256822,-0.297328807,-0.383394911
615,-0.440634297,-0.444063692,-0.112877417,-0.196580374
616,-0.158208517,0.005848635,-0.102338169,-0.022812914
617,-0.259382941,-0.032991473,0.094651946,0.131064567
619,-0.323706665,-0.17385181,-0.117645556,-0.103894641
620,-0.286915629,-0.240974912,-0.266972355,-0.09510423
622,0.590619601,0.59453418,0.665636062,0.487730791
623,-0.298211093,-0.112480818,-0.099553723,-0.023606904
625,-0.484776931,-0.198799844,-0.180327732,0.101465678
626,-0.464852558,-0.282224733,0.198861671,0.095454125
627,-0.252497742,-0.088460032,-0.090543763,0.11854298
628,0.150718095,0.246033193,0.252090945,-0.030119401
629,0.127036151,0.19869741,0.081432871,-0.31602775
630,-0.29216787,-0.091442287,0.10401598,0.035509789
631,-0.225485403,-0.081206781,-0.06415858,-0.087125399
632,-0.281504744,-0.247439507,-0.153718858,0.609637659
633,-0.538384676,-0.29999961,0.210650519,-0.085652443
635,-0.351292242,-0.210594677,0.058954356,-0.286242953
636,-0.008550076,-0.036514492,-0.20131445,-0.160788793
637,-0.305044522,-0.153250649,0.195881969,0.10436896
638,-0.50269295,-0.312780691,-0.051282285,-0.016326217
