index,0,1,2,3
1,0.10781464,0.10781464,0.154093118,0.065099162
2,0.09224708,0.09224708,0.212719499,0.071314884
4,-0.005473693,-0.005473693,-0.016055226,-0.002562081
5,0.002756924,0.002756924,0.055253904,0.019900946
6,0.070869651,0.070869651,0.132007834,0.028875793
7,-0.003208709,-0.003208709,-0.070262936,-0.001747024
8,0.010654092,0.010654092,0.031184917,0.006696905
9,0.026018996,0.026018996,0.071793366,0.031029958
10,-0.047779606,-0.047779606,-0.271824544,0.015806066
11,0.023484632,0.023484632,0.12218641,0.014923673
12,0.053463963,0.053463963,0.06380773,0.046510337
14,0.001933982,0.001933982,0.082462738,-0.002051313
16,0.08596967,0.08596967,0.129252481,0.071388699
17,0.000875588,0.000875588,-0.001423532,-0.000805157
18,0.00626589,0.00626589,-0.565522877,-0.720944939
19,-0.007880943,-0.007880943,0.040823355,0.02747441
20,0.000232129,0.000232129,0.001738807,0.001304341
21,0.051001592,0.051001592,0.066830884,0.015302645
22,0.068969393,0.068969393,,
23,0.004861347,0.004861347,0.01992319,0.027215575
25,0.004543395,0.004543395,0.011990899,0.005663891
26,0.058323906,0.058323906,0.070617907,0.043988273
27,0.03131078,0.03131078,0.034419189,0.047089829
28,0.059291369,0.059291369,0.087180474,0.049196692
30,0.088020585,0.088020585,0.133593778,0.050795823
31,0.12889887,0.12889887,0.226455918,0.118550846
32,0.028052549,0.028052549,0.038531197,0.012456749
34,0.035637727,0.035637727,0.058657724,0.047020698
35,0.027640338,0.027640338,0.03163068,0.01796256
36,0.134126109,0.134126109,0.163943359,0.065848321
37,0.018239857,0.018239857,0.007719318,-0.00738657
38,0.032942389,0.032942389,-0.382670262,0.003033697
39,0.189974711,0.189974711,0.303174598,0.06777978
40,0.099599891,0.099599891,0.104783992,0.009339909
42,0.062514695,0.062514695,0.055627636,0.018702527
43,0.173665124,0.173665124,0.165163989,0.010233161
45,0.000206096,0.000206096,-0.023298665,-0.001758853
46,0.068794668,0.068794668,0.042573423,0.065315778
48,0.011790205,0.011790205,0.063208664,0.020493073
