,0,1,2,3
798,6,5,2,8
799,8,7,5,3
800,3,4,2,1
801,7,7,4,5
802,6,6,2,4
803,7,5,6,6
806,3,4,5,6
807,3,3,5,6
809,5,6,5,3
810,8,5,7,5
811,6,5,5,5
812,4,5,2,4
813,7,8,3,3
815,8,7,3,2
816,5,8,8,7
818,6,7,3,2
819,7,7,7,6
820,5,4,3,3
821,5,3,6,6
822,6,6,4,5
823,7,5,7,6
825,8,7,5,6
826,7,3,2,3
828,7,8,6,4
829,5,3,7,6
830,8,7,5,3
831,8,6,3,3
833,5,4,4,5
835,5,3,1,2
836,6,6,4,5
837,5,5,3,4
838,4,6,3,3
839,4,6,4,6
848,9,5,7,6
850,10,6,6,6
851,5,4,3,4
852,5,3,3,5
856,4,5,5,3
858,8,7,8,6
859,9,6,6,8
860,6,6,7,6
861,6,8,5,6
862,6,6,4,4
863,7,5,7,6
868,2,1,7,7
869,7,6,5,5
875,6,5,6,7
876,4,4,5,5
877,10,10,7,7
878,7,6,7,6
880,8,8,4,5
881,6,6,5,4
882,8,8,9,8
883,3,5,4,4
885,5,7,9,8
886,7,8,7,5
887,6,6,4,3
888,5,4,6,5
889,4,2,4,5
890,7,5,2,4
892,5,3,7,7
893,6,6,8,6
895,9,7,6,5
897,5,5,4,7
898,10,8,5,5
899,7,5,7,7
900,6,6,6,6
901,4,3,5,5
902,9,8,4,4
903,3,4,5,5
905,3,5,3,3
906,7,9,5,5
908,6,3,3,1
909,8,6,2,2
910,7,6,5,4
911,5,5,1,2
912,7,7,7,7
913,6,6,6,8
915,4,3,6,4
916,1,1,1,1
917,4,7,5,8
918,8,4,5,3
919,7,8,6,6
920,4,3,4,4
921,7,6,6,4
922,7,6,7,5
923,6,6,7,8
925,6,5,7,7
926,6,8,3,4
927,5,8,4,4
928,3,4,5,6
929,3,4,5,4
930,6,6,7,7
931,9,7,6,6
932,9,9,7,7
933,5,5,6,8
935,7,6,7,6
936,8,5,6,6
937,9,8,6,5
938,7,5,4,2
939,4,3,3,5
948,8,6,6,3
949,5,7,3,5
950,3,3,6,7
951,7,8,7,7
952,9,7,3,4
953,5,5,3,3
955,5,4,4,6
957,6,6,6,6
958,5,5,5,5
959,9,7,5,5
960,6,5,6,5
961,7,6,6,3
962,8,7,6,7
963,7,5,4,4
965,9,8,4,3
966,9,8,7,9
967,4,7,6,6
968,8,9,5,6
969,5,4,7,7
970,6,6,3,2
971,2,2,6,5
972,5,5,6,5
973,5,5,6,8
975,6,5,7,8
976,7,6,7,4
977,7,7,9,7
978,6,5,2,5
979,3,0,0,1
980,7,6,4,1
981,6,4,2,2
982,5,5,3,3
983,7,7,8,8
985,5,3,6,5
987,1,1,1,1
988,7,8,6,6
989,4,4,4,4
990,6,5,3,2
993,6,4,6,7
995,4,3,3,4
996,6,6,4,4
997,4,4,6,6
998,3,5,5,5
999,9,7,7,7
1696,7,6,6,6
1872,0,2,3,2
1896,3,2,5,7
1965,1,6,8,8
1979,7,7,4,4
2001,9,9,3,1
2002,4,4,4,5
2003,3,4,3,2
2004,8,7,6,4
2005,8,5,3,3
2006,2,2,3,5
2007,5,6,4,6
2008,5,5,4,4
2009,7,5,2,3
2010,5,6,6,5
2011,5,3,6,8
2012,5,4,5,6
2013,5,7,6,8
2014,6,5,7,6
2015,5,3,5,5
2016,7,7,7,8
2017,3,4,2,3
2018,3,3,5,4
2019,6,5,4,3
2020,6,7,5,5
2021,7,4,4,3
2022,5,2,3,6
2023,6,6,4,3
2024,6,7,5,5
2025,4,7,6,6
2026,5,6,5,7
2027,4,5,3,4
2028,4,3,5,6
2029,6,9,6,3
2030,5,6,5,4
2031,7,6,5,6
2032,8,6,8,6
2033,7,3,6,2
2034,3,4,4,3
2035,6,5,4,6
2036,5,3,4,5
2037,6,7,8,7
2038,6,6,3,2
2039,5,6,4,5
2040,9,6,4,3
2041,2,4,2,2
2042,8,4,5,4
2043,5,4,2,7
2044,6,6,1,1
2045,2,1,6,8
2046,7,4,8,7
2047,8,5,6,5
2048,7,7,8,8
2049,7,7,7,6
2050,6,6,6,5
2051,8,3,3,4
2052,5,3,5,5
2053,3,4,6,5
2054,8,5,7,8
2055,6,7,4,5
2056,7,8,3,3
2057,7,6,5,4
2058,6,6,2,2
2059,7,9,9,6
2060,6,7,5,5
2061,5,7,5,4
2062,7,7,4,5
2063,4,5,5,6
2064,7,7,4,4
2065,6,7,8,8
2066,7,6,6,5
2067,8,5,3,2
2068,8,6,2,1
2069,5,6,2,4
2070,4,6,0,0
2071,5,5,3,3
2072,2,0,3,4
2073,5,1,4,4
2074,7,5,5,4
2075,8,7,3,2
2076,3,1,3,5
2077,3,3,0,0
2078,6,5,3,5
2079,6,5,5,7
2080,6,7,6,5
2081,9,8,6,3
2082,3,3,3,4
2083,6,4,7,8
2084,5,3,6,8
2085,2,2,5,4
2086,4,2,4,5
2087,6,8,4,4
2088,7,7,7,5
2089,5,3,5,3
2090,6,5,8,6
2091,8,7,5,5
2092,5,6,6,5
2093,6,4,4,7
2094,4,4,7,8
2095,7,5,2,1
2096,4,5,9,8
2097,7,5,4,5
2098,7,2,7,7
2099,8,8,8,7
2100,3,1,4,6
2101,9,7,6,6
2102,7,2,4,6
2103,5,3,6,6
2104,6,5,5,5
2105,1,3,6,8
2106,6,5,6,6
2107,5,3,4,3
2108,4,2,4,5
2109,7,8,5,7
2110,7,6,4,4
2111,5,7,5,8
2112,3,8,6,7
2113,3,4,7,5
2114,5,3,6,4
2115,5,6,6,5
2116,8,7,6,7
2117,6,6,6,6
2118,8,6,3,3
2119,8,7,5,6
2120,3,3,5,4
2121,5,4,4,5
2122,4,4,5,6
2123,5,3,4,3
2124,4,3,2,3
2125,5,6,5,5
2126,5,4,4,4
2127,7,9,6,6
2128,6,6,5,5
2129,2,5,3,5
2130,8,6,6,6
2131,6,4,7,7
2132,5,4,7,8
2133,5,4,5,6
2134,4,1,7,7
2135,8,7,4,8
2136,6,4,5,5
2137,7,3,7,6
2138,8,7,3,2
2139,4,5,7,5
2140,7,8,5,5
2141,5,3,4,4
2142,1,1,1,1
2143,3,0,1,3
2144,8,8,7,5
2145,6,6,4,6
2146,8,8,5,5
2147,8,4,3,3
2148,7,6,2,3
2149,6,7,7,5
2150,4,5,8,7
2151,4,5,3,2
2152,6,5,5,5
2153,4,5,7,8
2154,5,8,6,8
2155,5,4,3,3
2156,4,6,3,2
2157,4,2,4,5
2158,6,6,5,8
2159,8,7,6,7
2160,6,3,4,4
2161,3,0,8,6
2162,6,6,8,8
2163,4,4,8,9
2164,3,4,8,8
2165,2,2,3,3
2166,8,6,3,4
2167,7,6,3,3
2168,7,6,5,4
2169,5,4,6,4
2170,8,7,6,7
2171,7,5,2,3
2172,3,1,3,1
2173,6,5,5,5
2174,8,7,3,3
2175,3,2,5,5
2176,7,1,5,5
2177,5,4,7,6
2178,5,3,3,2
2179,6,4,6,6
2180,7,5,5,6
2181,5,5,6,4
2182,6,5,5,7
2183,8,7,4,4
2184,1,2,6,6
2185,2,2,3,3
2186,7,5,5,2
2187,6,6,5,5
2188,0,1,6,5
2189,5,4,2,2
2190,5,4,8,9
2191,6,7,7,6
2192,2,2,1,0
2193,8,8,8,7
2194,7,8,6,7
2195,5,4,8,6
2196,3,2,3,4
2197,5,3,2,3
2198,6,6,5,5
2199,4,3,5,9
2200,1,4,9,8
2201,8,8,5,5
2202,2,4,3,4
2203,7,8,4,5
2204,4,4,7,7
2205,2,3,5,4
2206,6,5,4,2
2207,6,4,4,6
2208,8,6,7,5
2209,5,5,3,3
2210,4,1,3,5
2211,5,5,2,4
2212,5,7,5,3
2213,4,5,5,1
2214,6,7,6,7
2215,5,6,3,4
2216,7,5,2,4
2217,5,4,5,2
2218,4,4,4,8
2219,3,2,2,5
2220,4,3,2,0
2221,6,6,5,6
2222,6,6,4,4
2223,5,5,7,4
2224,4,3,5,5
2225,6,5,5,2
