,0,1,2,3
1,0.049301194,0.059363565,0.059363565,0.030584679
2,0.104667351,0.252929488,0.252929488,0.086970178
4,-0.006538015,-0.021283205,-0.021283205,0.00131523
5,0.013049031,0.06151489,0.06151489,0.028170227
6,0.08824295,0.181223345,0.181223345,0.048182321
7,-0.005282681,-0.072608194,-0.072608194,0.000466891
8,0.016807188,0.045555328,0.045555328,0.011483838
9,0.042091093,0.096023296,0.096023296,0.043818712
10,-0.031914785,-0.228619904,-0.228619904,0.040515784
11,0.040583149,0.492324645,0.492324645,0.038453861
12,0.065979387,0.079594953,0.079594953,0.051461354
14,0.00405299,0.119022986,0.119022986,-0.002073139
16,0.035874748,0.055800119,0.055800119,0.047571733
17,0.000937783,-0.001902265,-0.001902265,-0.00085894
18,0.065332768,-0.168369727,-0.168369727,-0.168521396
19,-0.008402642,0.044285935,0.044285935,0.028103159
20,0.002692225,0.007371613,0.007371613,0.003996421
21,0.052152594,0.056479992,0.056479992,0.008933526
22,0.082450978,,,
23,0.020332679,0.050628533,0.050628533,0.043923554
25,0.005557545,0.013495167,0.013495167,0.006970101
26,0.07570434,0.089323826,0.089323826,0.057513429
27,0.041300408,0.055422795,0.055422795,0.040878089
28,0.108214622,0.178956308,0.178956308,0.093572032
29,,,,
30,0.109612006,0.169957436,0.169957436,0.060814022
31,0.080618819,0.11954668,0.11954668,0.079565816
32,0.04269545,0.062932259,0.062932259,0.021952637
34,0.050670659,0.073570936,0.073570936,0.042287449
35,0.037012089,0.045829417,0.045829417,0.023790303
36,0.292255239,0.439889445,0.439889445,0.141217842
37,0.040324051,0.039721553,0.039721553,-0.004659411
38,0.043540617,-0.486339817,-0.486339817,0.003465571
39,0.072910668,0.119817678,0.119817678,0.029264869
40,0.126792887,0.151897113,0.151897113,0.034299958
42,0.087667033,0.115957463,0.115957463,0.032343462
43,0.162786719,0.197719517,0.197719517,0.022311889
45,0.00168737,-0.027418767,-0.027418767,0.001148163
46,0.028133383,0.0306472,0.0306472,0.040981141
48,0.01940653,0.106499447,0.106499447,0.034205274
49,0.086746731,0.111015448,0.111015448,0.048745943
50,0.048491986,0.049649512,0.049649512,0.022482015
55,0.118207152,1.041060935,1.041060935,0.042979757
56,0.026442484,0.049046264,0.049046264,0.033161267
58,0.063151132,0.027675539,0.027675539,0.033310459
59,0.104579488,0.125228005,0.125228005,0.052531787
60,0.07200642,0.097528163,0.097528163,0.031509298
61,0.028431441,0.038122335,0.038122335,0.024060986
62,0.052550469,0.082224685,0.082224685,0.03408427
63,-0.112595186,-0.100428033,-0.100428033,0.023957251
65,0.103102532,0.238298387,0.238298387,0.093215592
66,0.01814181,0.093428333,0.093428333,0.006570613
68,-0.00553953,-0.018793852,-0.018793852,-0.004199293
69,0.073493299,0.149006347,0.149006347,0.038958655
70,0.048534843,0.084484206,0.084484206,0.011848771
78,0.09492949,0.113232873,0.113232873,0.066871768
88,0.029150639,0.050054171,0.050054171,0.016832741
89,0.05042347,0.061302353,0.061302353,0.02459208
90,0.031199888,0.100670593,0.100670593,0.030199135
96,0.024557747,0.030487964,0.030487964,0.010901996
99,0.035282598,0.066302263,0.066302263,0.030763168
100,0.046034618,0.07838309,0.07838309,0.039763687
150,0.029531049,0.02855568,0.02855568,0.011317833
151,0.013189854,0.022401021,0.022401021,-0.005334214
153,0.053496882,0.073291922,0.073291922,0.046630965
155,0.01547984,0.066539323,0.066539323,0.055954934
156,0.045162078,0.075253576,0.075253576,0.036843786
157,0.053111124,0.080139438,0.080139438,0.055443457
158,0.020987767,0.049588033,0.049588033,0.014467195
159,0.010335768,0.044291821,0.044291821,0.005948735
166,0.032852967,0.047544606,0.047544606,0.037642929
301,0.039203472,0.043600235,0.043600235,0.044330888
333,0.079937297,0.093385417,0.093385417,0.047772367
338,0.171160255,0.317016506,0.317016506,0.116318347
400,0.029158028,0.045213787,0.045213787,0.030290902
401,0.13635101,0.175185934,0.175185934,0.106773127
402,0.030882193,0.08008196,0.08008196,0.032052488
403,0.017722073,0.017881634,0.017881634,0.014136524
404,0.049610724,0.124301892,0.124301892,0.065441717
407,0.060709693,0.091614284,0.091614284,0.054161001
408,0.039879059,0.045596761,0.045596761,0.017940693
409,0.128706359,0.104647902,0.104647902,-0.018764217
410,0.02478563,0.00315093,0.00315093,-0.068895293
411,0.077915619,0.138017517,0.138017517,0.101970746
413,0.083391406,0.136861188,0.136861188,0.04863474
415,0.041578905,0.060455708,0.060455708,0.037961727
416,0.013799513,0.016803991,0.016803991,0.009306923
417,0.183163168,0.531625569,0.531625569,0.140271763
418,0.071591154,0.112675835,0.112675835,
