,date,Reversal
0,2000-01-01,-0.013998602171026386
1,2000-02-01,0.02305334848548797
2,2000-03-01,0.033875457035710294
3,2000-04-01,-0.019452684341580893
4,2000-05-01,0.016317676357037875
5,2000-06-01,-0.0029165923392288143
6,2000-07-01,0.0024101765239807685
7,2000-08-01,-0.04042595906729927
8,2000-09-01,-0.0016266716297963849
9,2000-10-01,0.017633661038169844
10,2000-11-01,0.0006555784579708904
11,2000-12-01,0.016454497036205783
12,2001-01-01,-0.01896528961685682
13,2001-02-01,0.026125373748636882
14,2001-03-01,-0.002186031881318209
15,2001-04-01,-0.031234749950806127
16,2001-05-01,0.02963603010450984
17,2001-06-01,-0.005921864639702706
18,2001-07-01,-0.0020021274432649276
19,2001-08-01,0.03418910585346377
20,2001-09-01,0.017437329641222132
21,2001-10-01,0.038117961380471584
22,2001-11-01,0.021345466864613846
23,2001-12-01,-0.04068965425084947
24,2002-01-01,0.05199412868028351
25,2002-02-01,-0.018760300630734306
26,2002-03-01,-0.0029304669276432466
27,2002-04-01,-0.01604478768469017
28,2002-05-01,0.05746304551704455
29,2002-06-01,0.03636718604810513
30,2002-07-01,0.001985090589826592
31,2002-08-01,-0.020198522377263578
32,2002-09-01,0.01090927747055339
33,2002-10-01,0.007423610807211559
34,2002-11-01,-0.01133579052402519
35,2002-12-01,0.06763103334488688
36,2003-01-01,0.013042397417061397
37,2003-02-01,0.006280043087946684
38,2003-03-01,-0.07504373431249835
39,2003-04-01,0.030924301946798006
40,2003-05-01,0.01921693027252637
41,2003-06-01,-0.014551015018115038
42,2003-07-01,0.01996249435006485
43,2003-08-01,-0.004949675565191207
44,2003-09-01,-0.0008985222529717257
45,2003-10-01,0.028979404380224123
46,2003-11-01,0.01324581008087045
47,2003-12-01,0.055883298722512326
48,2004-01-01,-0.013506777786266133
49,2004-02-01,0.015436221374868404
50,2004-03-01,-0.014849785838899704
51,2004-04-01,8.080482535264416e-05
52,2004-05-01,0.020881371185779582
53,2004-06-01,0.023987975252876218
54,2004-07-01,0.006844710601053405
55,2004-08-01,0.034517309877908776
56,2004-09-01,-0.038003259580326146
57,2004-10-01,0.04545329772321018
58,2004-11-01,0.011429491135400649
59,2004-12-01,-0.009039805243963597
60,2005-01-01,0.03765815983008766
61,2005-02-01,0.00944765265314726
62,2005-03-01,-0.07102188256329647
63,2005-04-01,0.06517882590214875
64,2005-05-01,0.028578282125959475
65,2005-06-01,-0.0526172900579947
66,2005-07-01,0.10900261504121576
67,2005-08-01,0.016647510034749874
68,2005-09-01,-0.0014480962812584847
69,2005-10-01,0.022625363459985018
70,2005-11-01,0.00763333116364967
71,2005-12-01,-0.027021332269395557
72,2006-01-01,0.05487312732476492
73,2006-02-01,0.027879313651534718
74,2006-03-01,-0.0943438831192773
75,2006-04-01,0.0639665200951432
76,2006-05-01,0.006251890981800498
77,2006-06-01,0.025406331124087165
78,2006-07-01,0.007464429246706747
79,2006-08-01,-0.00047385431823641216
80,2006-09-01,0.005781020258706679
81,2006-10-01,-0.024771341861253418
82,2006-11-01,-0.090064955340279
83,2006-12-01,0.053869244179316156
84,2007-01-01,-0.017591198075327885
85,2007-02-01,-0.054579413452632924
86,2007-03-01,-0.09561977652662218
87,2007-04-01,0.04967567310536772
88,2007-05-01,0.0076787342904550415
89,2007-06-01,0.10378490076705493
90,2007-07-01,0.0003234926933915194
91,2007-08-01,-0.03930018349386376
92,2007-09-01,0.023799219297482563
93,2007-10-01,0.06489400900427883
94,2007-11-01,0.0040842189383242244
95,2007-12-01,-0.03301885554740276
96,2008-01-01,-0.003253734783090746
97,2008-02-01,0.018600113933532253
98,2008-03-01,0.08770794817031277
99,2008-04-01,0.02481422902615861
100,2008-05-01,-0.013971086787464781
101,2008-06-01,0.05686512801039735
102,2008-07-01,0.0014709969782273347
103,2008-08-01,0.03234597571886301
104,2008-09-01,0.012200598291205067
105,2008-10-01,0.033049843477992974
106,2008-11-01,0.043779146184895
107,2008-12-01,0.053980635473521166
108,2009-01-01,0.018188889503444036
109,2009-02-01,0.018766336191869543
110,2009-03-01,-0.003998292621335532
111,2009-04-01,0.02231913733983877
112,2009-05-01,-0.028538647306429868
113,2009-06-01,0.002288336977562866
114,2009-07-01,0.04117666552940763
115,2009-08-01,0.030751736714183284
116,2009-09-01,-0.008621000515117327
117,2009-10-01,0.015159733620528998
118,2009-11-01,0.025146766042816203
119,2009-12-01,-0.004574671882524008
120,2010-01-01,-0.024452106757844067
121,2010-02-01,0.01592844544170902
122,2010-03-01,0.01964183982418464
123,2010-04-01,-0.0341293731485419
124,2010-05-01,0.012912716311952843
125,2010-06-01,0.023574697971485578
126,2010-07-01,-0.03250775172816456
127,2010-08-01,0.0
128,2010-09-01,0.03213333695941893
129,2010-10-01,0.06920932441321641
130,2010-11-01,0.025389781253776326
131,2010-12-01,-0.006576144103998358
132,2011-01-01,0.03806911241573495
133,2011-02-01,0.01030533496584907
134,2011-03-01,-0.03815259697054171
135,2011-04-01,-0.02452241088833034
136,2011-05-01,0.027702310858696184
137,2011-06-01,0.011353999647340208
138,2011-07-01,-0.012211214157818756
139,2011-08-01,0.03684666747512014
140,2011-09-01,0.02121856190108578
141,2011-10-01,0.00036038975283143176
142,2011-11-01,0.002216767895548283
143,2011-12-01,0.05349041591989409
144,2012-01-01,0.05703581301853078
145,2012-02-01,0.014691457495891222
146,2012-03-01,0.036937369060056
147,2012-04-01,-0.0021562293204638212
148,2012-05-01,-0.0046557114700393615
149,2012-06-01,-0.03153926605581719
150,2012-07-01,0.023997389187888622
