Indexcd,Trddt,Daywk,Opnindex,Hiindex,Loindex,Clsindex,Retindex
1,2002/5/10,5,1650.91,1652.29,1636.86,1638.2,-0.0075
1,2002/5/13,1,1634.9,1634.92,1618.46,1623.94,-0.008705
1,2002/5/14,2,1622.33,1629.88,1613.55,1616.23,-0.004748
1,2002/5/15,3,1614.9,1618.14,1597.92,1598.35,-0.011063
1,2002/5/16,4,1592.24,1592.24,1546.94,1549.5,-0.030563
1,2002/5/17,5,1549.08,1570.15,1540.58,1567.5,0.011617
1,2002/5/20,1,1564.97,1564.98,1529.35,1541.53,-0.016568
1,2002/5/21,2,1575.02,1599.11,1564.55,1588.11,0.030217
1,2002/5/22,3,1590.79,1591.03,1563.16,1564.49,-0.014873
1,2002/5/23,4,1571.08,1585.74,1568.1,1571.61,0.004551
1,2002/5/24,5,1572.94,1574.13,1544.42,1549.47,-0.014087
1,2002/5/27,1,1555.04,1562.63,1545.62,1555.05,0.003601
1,2002/5/28,2,1557.62,1569.41,1557.23,1558.52,0.002231
1,2002/5/29,3,1558.13,1558.15,1520.13,1524.81,-0.021629
1,2002/5/30,4,1524.22,1530.77,1506.54,1523.52,-0.000846
1,2002/5/31,5,1523.01,1532.03,1513.26,1515.73,-0.005113
1,2002/6/3,1,1510.25,1510.26,1480.09,1483.35,-0.021363
1,2002/6/4,2,1484.01,1498.05,1474.36,1490.51,0.004827
1,2002/6/5,3,1491.07,1491.07,1460.48,1462,-0.019128
1,2002/6/6,4,1458.61,1532.74,1455.31,1521.26,0.040534
1,2002/6/7,5,1522.88,1540.83,1508.43,1529.51,0.005423
1,2002/6/10,1,1529.34,1529.38,1511.26,1517.23,-0.008029
1,2002/6/11,2,1515.99,1534.38,1515.75,1530.96,0.009049
1,2002/6/12,3,1531.75,1531.75,1513.92,1524.84,-0.003997
1,2002/6/13,4,1524.77,1529.44,1511.22,1511.71,-0.008611
1,2002/6/14,5,1508.64,1508.65,1493.24,1494.25,-0.01155
1,2002/6/17,1,1489.14,1496.84,1481.25,1496.24,0.001332
1,2002/6/18,2,1496.83,1527.77,1496.81,1524.07,0.0186
1,2002/6/19,3,1523.95,1524.01,1506.43,1507.67,-0.010761
1,2002/6/20,4,1511.12,1528.36,1510.53,1516.15,0.005625
1,2002/6/21,5,1517.28,1564.92,1517.26,1562.72,0.030716
1,2002/6/24,1,1704.7,1709.07,1647.5,1707.31,0.092525
1,2002/6/25,2,1718.23,1748.89,1690.61,1706.59,-0.000422
1,2002/6/26,3,1698.11,1719.08,1684.91,1712.91,0.003703
1,2002/6/27,4,1714.74,1730.67,1706.14,1723.55,0.006212
1,2002/6/28,5,1724.73,1747.23,1711,1732.76,0.005344
1,2002/7/1,1,1736.29,1740.38,1712.77,1713.71,-0.010994
1,2002/7/2,2,1707.45,1725.89,1698.83,1724.95,0.006559
1,2002/7/3,3,1727.09,1736.08,1719.62,1730.92,0.003461
1,2002/7/4,4,1731.9,1735.83,1710.29,1713.14,-0.010272
1,2002/7/5,5,1709.84,1722.48,1704.19,1722.19,0.005283
1,2002/7/8,1,1723.58,1737.86,1721.12,1732.93,0.006236
1,2002/7/9,2,1733.83,1741.92,1724.39,1729.99,-0.001697
1,2002/7/10,3,1728.52,1729.73,1698.83,1701.82,-0.016283
1,2002/7/11,4,1698.21,1712.2,1689.22,1696.94,-0.002868
1,2002/7/12,5,1696.64,1706.44,1693.21,1698.3,0.000801
1,2002/7/15,1,1696.81,1697.38,1685.54,1687.95,-0.006094
1,2002/7/16,2,1687.67,1704.77,1686.81,1691.62,0.002174
1,2002/7/17,3,1692.45,1702.24,1680.2,1701.72,0.005971
1,2002/7/18,4,1703.81,1711.69,1695.4,1704.91,0.001875
1,2002/7/19,5,1706.36,1714.09,1703.38,1713.86,0.00525
